bin,range_m,mf_magnitude,cfar_threshold,detected
292,4376.9699,3.371812,116.701096,0
293,4391.9595,8.754551,116.650792,0
294,4406.9491,10.339385,116.393264,0
295,4421.9388,4.578383,116.167298,0
296,4436.9284,5.763474,116.033137,0
297,4451.9180,5.750586,116.021073,0
298,4466.9076,9.804838,114.673409,0
299,4481.8972,12.982285,114.559225,0
300,4496.8869,6.882316,103.538714,0
301,4511.8765,1.692770,63.910305,0
302,4526.8661,12.824153,28.982899,0
303,4541.8557,14.165781,27.923922,0
304,4556.8454,2.454121,25.028582,0
305,4571.8350,10.095191,24.725744,0
306,4586.8246,11.590029,23.416292,0
307,4601.8142,7.938363,24.054925,0
308,4616.8039,8.917734,25.189117,0
309,4631.7935,7.255612,24.812150,0
310,4646.7831,1.975730,26.461978,0
311,4661.7727,7.468965,27.615778,0
312,4676.7623,5.075971,27.651436,0
313,4691.7520,7.325899,28.116602,0
314,4706.7416,6.263213,28.271041,0
315,4721.7312,0.504774,27.434557,0
316,4736.7208,7.287038,27.048592,0
317,4751.7105,7.773966,26.255290,0
318,4766.7001,1.469498,25.558211,0
319,4781.6897,6.265745,25.229034,0
320,4796.6793,10.360136,24.080184,0
321,4811.6690,11.336800,24.345955,0
322,4826.6586,11.381405,24.757701,0
323,4841.6482,4.444686,24.629506,0
324,4856.6378,6.580125,23.834358,0
325,4871.6274,5.732588,24.503398,0
326,4886.6171,5.754177,24.084113,0
327,4901.6067,8.491018,23.668520,0
328,4916.5963,5.327902,23.305969,0
329,4931.5859,5.458216,22.635856,0
330,4946.5756,14.028905,22.213148,0
331,4961.5652,9.671356,22.794235,0
332,4976.5548,2.853033,23.392486,0
333,4991.5444,8.370060,23.875041,0
334,5006.5340,7.229694,23.724905,0
335,5021.5237,1.595981,24.906870,0
336,5036.5133,3.075448,26.237243,0
337,5051.5029,3.031255,27.771842,0
338,5066.4925,0.802284,29.423477,0
339,5081.4822,5.151357,28.940253,0
340,5096.4718,6.460046,28.382089,0
341,5111.4614,8.106593,28.162845,0
342,5126.4510,6.013490,27.528610,0
343,5141.4407,14.676986,26.755850,0
344,5156.4303,8.617063,26.811223,0
345,5171.4199,5.044536,26.789053,0
346,5186.4095,10.445976,27.169760,0
347,5201.3991,6.230900,27.296076,0
348,5216.3888,0.582364,27.968173,0
349,5231.3784,3.738875,28.231508,0
350,5246.3680,3.899718,28.700493,0
351,5261.3576,7.194135,28.040029,0
352,5276.3473,8.717419,27.571119,0
353,5291.3369,8.657739,25.439928,0
354,5306.3265,1.758692,23.192209,0
355,5321.3161,6.426512,22.628875,0
356,5336.3058,12.347428,22.949908,0
357,5351.2954,18.952165,22.814247,0
358,5366.2850,17.600462,22.772337,0
359,5381.2746,8.985786,23.291078,0
360,5396.2642,3.877422,24.273063,0
361,5411.2539,9.281754,25.597938,0
362,5426.2435,11.070158,27.195319,0
363,5441.2331,6.476201,28.645561,0
364,5456.2227,1.565720,27.960049,0
365,5471.2124,3.461505,27.688084,0
366,5486.2020,6.629201,28.512577,0
367,5501.1916,8.326586,29.547793,0
368,5516.1812,6.636481,29.530758,0
369,5531.1709,8.571011,29.706200,0
370,5546.1605,9.353785,29.604482,0
371,5561.1501,4.077993,29.684892,0
372,5576.1397,11.357125,30.043143,0
373,5591.1293,5.314725,30.270359,0
374,5606.1190,6.172993,30.226549,0
375,5621.1086,6.356968,30.139126,0
376,5636.0982,3.114170,29.470188,0
377,5651.0878,1.000623,29.387169,0
378,5666.0775,7.145073,28.571794,0
379,5681.0671,10.542122,26.997738,0
380,5696.0567,11.301800,26.776648,0
381,5711.0463,9.968050,27.510305,0
382,5726.0359,1.824480,27.286630,0
383,5741.0256,6.207179,25.830402,0
384,5756.0152,7.897255,25.767651,0
385,5771.0048,9.343677,27.141281,0
386,5785.9944,12.873317,28.494025,0
387,5800.9841,13.543025,28.337851,0
388,5815.9737,11.083758,27.947500,0
389,5830.9633,7.569300,27.955780,0
390,5845.9529,4.691949,27.878248,0
391,5860.9426,5.095769,28.417161,0
392,5875.9322,7.501878,29.287118,0
393,5890.9218,8.604724,28.743197,0
394,5905.9114,6.678288,27.938430,0
395,5920.9010,3.303488,27.725667,0
396,5935.8907,5.730916,27.270288,0
397,5950.8803,10.401251,26.362265,0
398,5965.8699,13.877038,25.530527,0
399,5980.8595,6.923787,25.824011,0
400,5995.8492,8.188590,25.048120,0
401,6010.8388,14.562187,23.479317,0
402,6025.8284,14.632930,23.387033,0
403,6040.8180,4.794711,26.591299,0
404,6055.8077,6.629214,27.341009,0
405,6070.7973,12.244351,27.025976,0
406,6085.7869,12.660491,27.969189,0
407,6100.7765,6.322367,28.318416,0
408,6115.7661,4.604923,27.358367,0
409,6130.7558,7.556801,26.922558,0
410,6145.7454,4.216403,27.340998,0
411,6160.7350,4.862890,28.174868,0
412,6175.7246,4.071334,28.521529,0
413,6190.7143,4.436467,29.342105,0
414,6205.7039,5.172505,29.637427,0
415,6220.6935,5.340468,29.077745,0
416,6235.6831,2.531321,29.356208,0
417,6250.6727,4.411437,29.272908,0
418,6265.6624,3.416424,28.546960,0
419,6280.6520,8.638957,26.304130,0
420,6295.6416,5.081612,25.579502,0
421,6310.6312,4.068201,25.331167,0
422,6325.6209,11.768449,23.784809,0
423,6340.6105,18.190366,22.219680,0
424,6355.6001,11.533775,22.579782,0
425,6370.5897,1.032344,22.476780,0
426,6385.5794,6.968043,21.757642,0
427,6400.5690,5.846848,21.534558,0
428,6415.5586,4.090614,23.330671,0
429,6430.5482,5.259016,22.801015,0
430,6445.5378,1.484807,22.198616,0
431,6460.5275,5.389586,22.680104,0
432,6475.5171,7.164646,22.374794,0
433,6490.5067,14.032029,22.529629,0
434,6505.4963,8.990684,22.108297,0
435,6520.4860,1.709720,21.285749,0
436,6535.4756,7.866117,21.154842,0
437,6550.4652,4.263166,21.329065,0
438,6565.4548,10.057265,22.681813,0
439,6580.4445,11.307076,23.302367,0
440,6595.4341,6.302436,22.828313,0
441,6610.4237,4.878929,23.079233,0
442,6625.4133,3.664141,23.100485,0
443,6640.4029,4.555145,23.015721,0
444,6655.3926,3.668864,21.714012,0
445,6670.3822,5.645004,21.496646,0
446,6685.3718,6.340374,22.552189,0
447,6700.3614,4.677852,22.161914,0
448,6715.3511,1.423995,22.083886,0
449,6730.3407,3.437263,21.774400,0
450,6745.3303,7.456176,21.906977,0
451,6760.3199,6.077557,22.639533,0
452,6775.3096,3.177096,22.434030,0
453,6790.2992,6.234090,22.502216,0
454,6805.2888,6.064913,21.683057,0
455,6820.2784,6.736429,21.495222,0
456,6835.2680,4.747180,21.628280,0
457,6850.2577,1.035345,21.020603,0
458,6865.2473,3.807221,21.039688,0
459,6880.2369,6.094885,20.932842,0
460,6895.2265,4.427269,20.664118,0
461,6910.2162,5.509168,20.326674,0
462,6925.2058,6.443492,19.346239,0
463,6940.1954,6.892730,19.978854,0
464,6955.1850,5.521819,20.167236,0
465,6970.1746,8.772707,20.346386,0
466,6985.1643,13.124938,20.038123,0
467,7000.1539,4.443141,19.572136,0
468,7015.1435,3.630258,20.281947,0
469,7030.1331,1.199517,20.375998,0
470,7045.1228,7.066678,20.471813,0
471,7060.1124,10.258026,21.137168,0
472,7075.1020,1.388698,21.133542,0
473,7090.0916,7.717721,21.192557,0
474,7105.0813,9.542269,22.211338,0
475,7120.0709,6.169926,23.210533,0
476,7135.0605,1.670691,23.722114,0
477,7150.0501,2.103905,23.686884,0
478,7165.0397,4.820383,23.612563,0
479,7180.0294,9.921139,23.749136,0
480,7195.0190,8.913224,23.677251,0
481,7210.0086,7.257578,23.604872,0
482,7224.9982,8.852781,23.885657,0
483,7239.9879,9.657295,24.129695,0
484,7254.9775,4.410898,24.400596,0
485,7269.9671,4.130441,24.523954,0
486,7284.9567,3.758589,24.157425,0
487,7299.9464,6.968965,23.729639,0
488,7314.9360,7.817917,24.405962,0
489,7329.9256,6.524243,24.810075,0
490,7344.9152,6.135482,23.697707,0
491,7359.9048,2.099048,22.195640,0
492,7374.8945,4.418911,21.825812,0
493,7389.8841,2.971705,21.836341,0
494,7404.8737,13.901206,22.008987,0
495,7419.8633,14.877946,21.692023,0
496,7434.8530,9.570107,21.583308,0
497,7449.8426,8.262678,21.571469,0
498,7464.8322,3.056198,21.035373,0
499,7479.8218,6.008111,22.781338,0
500,7494.8115,2.883358,28.427122,0
501,7509.8011,4.858918,32.490050,0
502,7524.7907,8.946111,33.047492,0
503,7539.7803,10.098601,32.656604,0
504,7554.7699,7.044077,32.161182,0
505,7569.7596,3.421430,31.898355,0
506,7584.7492,2.903933,31.883085,0
507,7599.7388,6.072623,32.270898,0
508,7614.7284,6.604204,32.763237,0
509,7629.7181,7.885853,32.939533,0
510,7644.7077,3.979647,32.727129,0
511,7659.6973,7.104662,32.762132,0
512,7674.6869,9.971662,32.895778,0
513,7689.6765,3.234006,33.068451,0
514,7704.6662,7.002447,33.467010,0
515,7719.6558,6.926511,32.001979,0
516,7734.6454,5.279180,27.346341,0
517,7749.6350,2.311185,23.623836,0
518,7764.6247,2.672625,23.143806,0
519,7779.6143,12.702449,23.514161,0
520,7794.6039,28.169865,24.340757,1
521,7809.5935,27.233292,24.420390,1
522,7824.5832,10.117892,25.446963,0
523,7839.5728,5.376141,26.485798,0
524,7854.5624,2.121157,26.430463,0
525,7869.5520,4.779915,31.143345,0
526,7884.5416,2.523679,34.930375,0
527,7899.5313,7.692041,35.485290,0
528,7914.5209,11.917262,36.048711,0
529,7929.5105,7.529232,36.188778,0
530,7944.5001,6.170398,36.279488,0
531,7959.4898,9.168479,36.125911,0
532,7974.4794,4.659283,35.696032,0
533,7989.4690,3.924835,35.311302,0
534,8004.4586,5.770377,35.144176,0
535,8019.4483,7.153886,34.962297,0
536,8034.4379,11.660749,34.629072,0
537,8049.4275,12.841956,34.744720,0
538,8064.4171,9.637074,34.382147,0
539,8079.4067,6.404662,33.164159,0
540,8094.3964,10.546243,32.314349,0
541,8109.3860,3.864459,28.654096,0
542,8124.3756,13.346433,25.665084,0
543,8139.3652,17.141032,25.044987,0
544,8154.3549,8.594832,24.308153,0
545,8169.3445,11.239381,24.620215,0
546,8184.3341,7.640285,24.112484,0
547,8199.3237,10.357611,25.287411,0
548,8214.3133,12.268895,26.622789,0
549,8229.3030,9.211828,25.990677,0
550,8244.2926,9.609682,26.467724,0
551,8259.2822,5.225533,26.954809,0
552,8274.2718,5.891500,27.540393,0
553,8289.2615,6.357596,28.328739,0
554,8304.2511,3.367159,28.367382,0
555,8319.2407,3.707957,28.616100,0
556,8334.2303,2.368394,28.458933,0
557,8349.2200,6.719383,27.411052,0
558,8364.2096,9.639312,26.001948,0
559,8379.1992,4.581289,26.402523,0
560,8394.1888,4.148061,26.804990,0
561,8409.1784,10.713997,26.172316,0
562,8424.1681,12.177973,26.244201,0
563,8439.1577,4.743023,25.671571,0
564,8454.1473,5.419901,24.430978,0
565,8469.1369,4.890206,24.214546,0
566,8484.1266,5.106081,24.296484,0
567,8499.1162,5.438151,24.850889,0
568,8514.1058,2.811437,24.409287,0
569,8529.0954,2.975303,23.230839,0
570,8544.0851,4.091019,22.641091,0
571,8559.0747,8.453922,22.490992,0
572,8574.0643,8.835767,22.996209,0
573,8589.0539,6.956383,22.981274,0
574,8604.0435,5.480145,22.967186,0
575,8619.0332,2.105691,22.565673,0
576,8634.0228,3.765979,22.300467,0
577,8649.0124,6.365273,22.636966,0
578,8664.0020,6.865398,22.647396,0
579,8678.9917,12.921766,22.274956,0
580,8693.9813,10.993300,21.726162,0
581,8708.9709,5.388198,21.899060,0
582,8723.9605,2.674590,22.639949,0
583,8738.9502,5.064511,22.655501,0
584,8753.9398,9.714187,23.384490,0
585,8768.9294,5.826636,25.100282,0
586,8783.9190,6.339425,25.247084,0
587,8798.9086,7.952126,25.112291,0
588,8813.8983,9.880851,25.043276,0
589,8828.8879,1.101102,25.488111,0
590,8843.8775,3.140513,25.177226,0
591,8858.8671,7.099049,24.777108,0
592,8873.8568,8.989943,24.749381,0
593,8888.8464,8.078576,26.229995,0
594,8903.8360,8.761251,26.519221,0
595,8918.8256,10.332383,26.402324,0
596,8933.8152,5.239905,27.351146,0
597,8948.8049,1.381980,27.543879,0
598,8963.7945,2.308328,26.494716,0
599,8978.7841,6.194297,25.649982,0
600,8993.7737,6.206283,25.012202,0
601,9008.7634,7.719380,23.558808,0
602,9023.7530,14.608248,23.486143,0
603,9038.7426,12.904174,23.555342,0
604,9053.7322,7.333934,24.339200,0
605,9068.7219,12.616010,25.128517,0
606,9083.7115,5.187012,25.969407,0
607,9098.7011,6.997309,27.139211,0
608,9113.6907,8.623495,27.865343,0
609,9128.6803,6.796951,26.628064,0
610,9143.6700,2.106088,27.288199,0
611,9158.6596,4.835000,27.199808,0
612,9173.6492,5.618868,26.550617,0
613,9188.6388,14.445210,26.553109,0
614,9203.6285,9.912149,26.585062,0
615,9218.6181,6.323759,27.277275,0
616,9233.6077,12.061360,28.831126,0
617,9248.5973,4.967366,29.430793,0
618,9263.5870,4.320212,31.618210,0
619,9278.5766,2.195752,33.193340,0
620,9293.5662,4.137760,32.686665,0
621,9308.5558,6.395378,32.266361,0
622,9323.5454,6.616499,31.622524,0
623,9338.5351,7.781226,30.426153,0
624,9353.5247,13.198816,29.387080,0
625,9368.5143,14.802602,29.692943,0
626,9383.5039,10.374344,29.872118,0
627,9398.4936,6.036518,30.416395,0
628,9413.4832,6.931403,30.424656,0
629,9428.4728,7.095930,31.061425,0
630,9443.4624,6.856763,32.264798,0
631,9458.4520,2.916703,32.453269,0
632,9473.4417,6.502826,31.571062,0
633,9488.4313,5.614790,31.185987,0
634,9503.4209,6.543693,29.079731,0
635,9518.4105,13.745356,27.355072,0
636,9533.4002,19.023846,26.739513,0
637,9548.3898,11.897057,25.938396,0
638,9563.3794,15.408336,25.885207,0
639,9578.3690,16.544249,26.135660,0
640,9593.3587,8.515011,27.369461,0
641,9608.3483,5.504975,28.817617,0
642,9623.3379,4.382764,28.588107,0
643,9638.3275,2.932949,29.470372,0
644,9653.3171,4.836818,30.566265,0
645,9668.3068,11.882690,29.790042,0
646,9683.2964,14.045560,28.162774,0
647,9698.2860,9.487868,27.114147,0
648,9713.2756,5.675260,26.194374,0
649,9728.2653,7.005200,25.914163,0
650,9743.2549,9.919058,26.518402,0
651,9758.2445,11.059619,27.467048,0
652,9773.2341,13.397453,28.277393,0
653,9788.2238,7.253265,28.235107,0
654,9803.2134,3.890806,29.232285,0
655,9818.2030,5.754988,30.400132,0
656,9833.1926,2.036997,30.065021,0
657,9848.1822,2.638609,28.840066,0
658,9863.1719,2.023070,28.066773,0
659,9878.1615,4.848788,26.515407,0
660,9893.1511,6.100310,24.952537,0
661,9908.1407,6.354360,24.787338,0
662,9923.1304,7.558799,24.870680,0
663,9938.1200,7.068455,24.619053,0
664,9953.1096,4.039024,25.476498,0
665,9968.0992,3.210248,27.326622,0
